"","WD11CD","WD11CDO","WD11NM","WD11NMW","WardName","OldCode","Wardcode","Pop2013","Aged0_15","Aged16_64","Aged65plus","PctAged0_1","PctAged16_","PctAged65p","MeanAge201","MedianAge2","AreaSqKM","PopDensity","PctBame","PctNotBorn","PctNoEngli","GenFertRat","MaleLE0509","FemaleLE05","PctYr1Obes","PctYr6Obes","RateAmbula","RatesAmbul","RoadKilled","InEmployme","Employment","NoJobs2011","EmpWkAgePo","RateNINoFo","MeanHouseP","NoProperti","NoHousehol","PctDetache","PctSemiDet","PctTerrace","PctFlatMai","PctOwned20","PctSocialR","PctPrivate","PctCTaxBan","PctCTaxB_1","PctCTaxB_2","Incapacity","IncomeSupp","EmpSupport","JSAClaiman","PctDepChil","PctHHNoAdu","PctLonePar","IDRankLond","IDPctWorst","AvgGCSE201","UnauthAbse","PctWithNoQ","PctLev4Qua","CrimeRate1","ViolenceRa","RobberyRat","TheftAndHa","CriminalDa","DrugsRate1","Deliberate","PctOpenSpa","CarsPerHH2","AvgPubTran","PctTTWBike","TurnoutMay","Shape_Leng","Shape_Area","ID","x","y","geometry"
"1","E09000001","00AA","City of London",NA,"City of London","00AA","E09000001",8000,600,6200,1200,7.5,77.5,15,41.3038874812,39,3.15148,2538.0623712,21.4,36.7,11.9,34,82.8,86.2,"n/a","n/a",811.5,18.3428571429,58,4747,75.2655779293,4e+05,64.5161290323,138.888888889,595000,195,5530,0.4,0.2,1.4,98,42.3,16.5,35.9,4.1,63.1,32.8,0.847457627119,0.508474576271,1.35593220339,1.94336509599,10,0.866590649943,24.1758241758,551,20,367,0.5,6.7,68.4,730.789473684,68.0263157895,6.44736842105,445.131578947,29.7368421053,65.5263157895,0.779220779221,18.6425,0.385860889396,7.6,5.30861596798,48.5236517023,9601.64292983,3149381.13168,625,532462,181223,list(c(532140.297984266, 532141.496084269, 532142.397184269, 532146.597684267, 532158.297884306, 532189.296384291, 532191.497984296, 532253.19808427, 532287.895284359, 532304.299784421, 532309.597984449, 532341.997384443, 532359.896884437, 532361.697084447, 532373.997384444, 532382.396184465, 532436.397884447, 532447.596284497, 532461.397784498, 532486.096684501, 532517.394184505, 532548.497184511, 532594.697984518, 532634.496784527, 532633.79638453, 532615.09608461, 532630.798084616, 532664.297284629, 
532746.796784668, 532788.09678469, 532871.397184728, 532880.496384732, 532901.496584678, 532907.396884663, 532924.096284618, 532935.696184585, 532946.097984563, 533078.896384617, 533119.196984589, 533146.797884561, 533167.496984534, 533182.396184515, 533184.597784512, 533198.597884482, 533215.796984437, 533230.49758438, 533250.897684387, 533320.197884409, 533410.696984425, 533394.097984477, 533389.39778451, 533387.396884518, 533387.597584519, 533378.797384579, 533367.996184651, 533351.997184718, 
533427.697384705, 533445.097284703, 533448.896284755, 533442.096884757, 533455.296284781, 533466.996484797, 533471.997684804, 533475.497784811, 533478.797084823, 533496.696584868, 533499.096884874, 533532.497684949, 533536.896784956, 533539.696384961, 533567.397684997, 533659.397885094, 533683.197685122, 533709.897485155, 533719.596785166, 533743.697685192, 533765.797685226, 533779.396385276, 533786.896185308, 533787.094785309, 533796.796185356, 533807.197985421, 533814.29638548, 533815.996185493, 
533820.89708552, 533826.09688554, 533832.797985559, 533837.297385582, 533837.997885589, 533839.496985608, 533839.597385638, 533838.296885645, 533834.696485652, 533829.496585662, 533824.296685666, 533813.896985666, 533787.496185666, 533765.897985669, 533750.996785673, 533740.898085678, 533725.497085686, 533711.798085684, 533696.696085681, 533657.196285703, 533646.597885708, 533645.397785709, 533642.696485705, 533641.297685703, 533637.496585698, 533637.097285698, 533632.896785694, 533631.096585672, 
533630.596885668, 533609.797385671, 533603.999485632, 533602.496285633, 533595.297585633, 533594.394385623, 533575.497485625, 533552.197385628, 533552.398085631, 533553.297185646, 533553.796885655, 533551.39658566, 533540.396785661, 533505.799985665, 533491.298085672, 533479.495485682, 533465.796385698, 533450.397485723, 533443.598085739, 533442.897685747, 533440.896785747, 533417.496385751, 533412.796185783, 533406.797585783, 533403.496185789, 533404.19658579, 533428.197185802, 533425.497885811, 
533429.296885814, 533430.396685814, 533429.397285816, 533420.496685833, 533408.99718586, 533408.696085869, 533405.697785881, 533396.897585918, 533389.795085916, 533387.597585923, 533385.998085929, 533376.098085936, 533362.09798595, 533360.496385952, 533334.198086031, 533326.796586028, 533293.096686018, 533273.296686012, 533249.697586007, 533213.097785998, 533160.896285987, 533105.196785974, 533072.496385969, 533053.497085964, 533005.696785952, 532984.997685948, 532950.996785944, 532943.996685943, 
532921.396985942, 532874.997485937, 532812.89808593, 532806.59428593, 532782.296885926, 532745.69708592, 532721.596185917, 532714.997485916, 532684.39628591, 532626.996985904, 532572.696385894, 532515.297085884, 532484.996885875, 532464.697085868, 532452.597485864, 532428.197685853, 532368.996085828, 532303.496985806, 532278.597385797, 532248.796985788, 532228.796185783, 532170.596085772, 532109.096685763, 532052.496185756, 531998.79758575, 531954.597685746, 531936.597785746, 531840.798485739, 531721.89778574, 
531700.096785736, 531660.797685737, 531661.096685757, 531671.29578576, 531669.896985761, 531659.896585767, 531661.696785815, 531669.296885821, 531660.797685825, 531660.797685852, 531660.496685872, 531662.896885885, 531663.197985893, 531629.698885896, 531626.299185889, 531625.496385879, 531628.097285873, 531628.197685829, 531628.197685824, 531623.896885821, 531622.39768582, 531627.597585818, 531628.79768578, 531628.197685765, 531622.397685765, 531621.897985763, 531620.296485761, 531627.896585758, 
531628.197685758, 531628.797685735, 531591.397185736, 531562.997485735, 531498.796785735, 531465.897785735, 531439.996685735, 531400.996585737, 531361.29618574, 531313.196785741, 531261.198085747, 531230.496585749, 531214.19648575, 531182.595885752, 531155.597085756, 531145.096985648, 531143.796485631, 531143.497485587, 531144.296185573, 531145.596685551, 531142.797085541, 531132.196585517, 531127.897885512, 531119.896385516, 531100.296985484, 531099.596585482, 531097.994985479, 531106.998085476, 
531096.596285456, 531080.996585429, 531085.596485425, 531083.597585422, 531094.595385415, 531085.596485399, 531126.697785381, 531117.596485351, 531108.497185328, 531153.196785315, 531169.097485311, 531166.197485297, 531144.896285205, 531133.796085159, 531131.997985153, 531129.698085147, 531110.196985096, 531090.697985052, 531089.19678505, 531037.796084961, 530995.298084896, 530975.696684865, 530973.996784861, 530970.496784846, 530968.397584834, 530967.69718483, 531022.497584825, 531070.496584827, 
531120.097084832, 531200.296684844, 531266.19728486, 531300.894484864, 531359.596284873, 531384.997684875, 531401.096984866, 531413.794584861, 531438.196484847, 531473.696584829, 531496.396584818, 531521.197884803, 531554.596584786, 531555.196684786, 531595.196184763, 531697.895184711, 531778.197284669, 531796.197184659, 531812.99688465, 531847.397184631, 531865.896684622, 531891.396384608, 531903.297284606, 531913.496384605, 531944.697584589, 531965.697784578, 531996.296984564, 532027.297584553, 
