,LAcode,LAname,objectid,all_categories,from_home,underground_metro _light_rail_tram,Train,bus_minibus_or_coach,taxi,motorcycle_or_scooter,driving_a_car_or _a_van,passeneger_a_car_or _a_van,bicycle,on_foot,other,not_in_employment,health_all_categories,very_good_health,good_health,fair_health,bad_health,very_bad_health
147,E10000029,Suffolk,148,525463,40342,476,6831,11212,1111,3175,217687,18392,13558,36995,1981,173703,728163,334121,260145,99088,27262,7547
148,E10000030,Surrey,149,817272,76453,3271,75215,15001,1539,5278,320577,19458,12440,42817,2477,242746,1132390,593689,380019,119554,30599,8529
149,E10000031,Warwickshire,150,401630,31389,262,5712,8213,701,1911,176169,15429,6557,25056,922,129309,545474,258530,189851,70472,20701,5920
150,E10000032,West Sussex,151,577224,48246,600,28575,13960,1186,2987,229082,18531,11681,38155,1686,182535,806892,378965,286383,104836,28645,8063
151,E10000034,Worcestershire,152,415036,33522,206,6157,8536,835,1896,180732,14928,5653,24698,1079,136794,566169,263127,197450,76406,22612,6574
152,W06000001,Isle of Anglesey,153,50818,4026,20,199,795,100,217,20136,1779,453,2465,241,20387,69751,33492,21309,10541,3413,996
153,W06000002,Gwynedd,154,88913,8546,34,352,2379,105,264,31511,3071,677,6724,298,34952,121874,61396,37383,16593,4998,1504
154,W06000003,Conwy,155,81906,6743,37,545,2130,221,273,31488,2733,645,4954,324,31813,115228,52335,36977,17874,6237,1805
155,W06000004,Denbighshire,156,67676,5136,26,429,1366,245,194,25901,2625,633,4395,206,26520,93734,43690,29420,13770,5341,1513
156,W06000005,Flintshire,157,112325,6577,44,640,2894,319,522,51486,4848,1294,5079,346,38276,152506,74216,49498,20114,6774,1904
157,W06000006,Wrexham,158,98691,5324,37,496,3361,424,397,42179,5187,808,5128,273,35077,134844,63642,43813,19009,6531,1849
158,W06000008,Ceredigion,159,57405,6780,32,125,910,98,148,17917,1652,361,4266,157,24959,75922,35796,24369,10946,3660,1151
159,W06000009,Pembrokeshire,160,88049,9395,41,214,1564,195,350,33210,3323,435,5106,384,33832,122439,55535,39889,18684,6383,1948
160,W06000010,Carmarthenshire,161,132930,11630,58,778,1630,206,422,53340,5247,615,6369,385,52250,183777,82638,55618,30011,11475,4035
161,W06000011,Swansea,162,176971,8228,100,883,5791,636,610,66912,7585,1485,9997,566,74178,239023,116295,69978,33402,14473,4875
162,W06000012,Neath Port Talbot,163,102986,4081,35,973,1948,254,455,41127,4529,755,4539,284,44006,139812,62849,39694,22640,11028,3601
163,W06000013,Bridgend,164,102805,4813,46,1474,1722,364,313,42315,4470,503,4967,272,41546,139178,64134,41659,21002,9459,2924
